lucode,LULC_desc,LULC_veg,root_depth,Kc
1,AgriculturalVegetation,1,1000,0.65
2,CoastalLagoon,0,10,1
3,BareArea,0,500,0.2
4,ArtificialSurface,0,0,0.29
5,AgriculturalVegetation,1,1000,0.65
6,BeachDuneAndSand,0,500,0.2
7,PeatBog,0,2000,0.5
8,BroadleafForest,1,3500,1
9,BroadleafForest,1,3500,1
10,BroadleafForest,1,3500,1
11,BroadleafForest,1,3500,1
12,BroadleafForest,1,3500,1
13,BroadleafForest,1,3500,1
14,BroadleafForest,1,3500,1
15,InlandForestedWetland,0,3500,1
16,BroadleafForest,1,3500,1
17,BroadleafForest,1,3500,1
18,BroadleafForest,1,3500,1
19,BroadleafForest,1,3500,1
20,BroadleafForest,1,3500,1
21,BroadleafForest,1,3500,1
22,PalmForest,1,3500,1
23,BroadleafForest,1,3500,1
24,BroadleafForest,1,3500,1
25,BroadleafForest,1,3500,1
26,BroadleafForest,1,3500,1
27,BroadleafForest,1,3500,1
28,BroadleafForest,1,3500,1
29,BroadleafForest,1,3500,1
30,BroadleafForest,1,3500,1
31,InlandForestedWetland,0,3500,1
32,PalmSwamp,0,3500,1
33,PalmSwamp,0,3500,1
34,ClosedEvergreenBroadleafForest,1,3500,1
35,BroadleafForest,1,3500,1
36,BroadleafForest,1,3500,1
37,ConiferousForest,1,3500,1
38,DeciduousBroadleafForest,1,3500,1
39,DeciduousBroadleafForest,1,3500,1
40,SparseTreeCover,1,1175,0.365
41,DeciduousBroadleafForest,1,3500,1
42,BroadleafForest,1,3500,1
43,BroadleafForest,1,3500,1
44,OpenSavanna,1,2750,0.75
45,DeciduousBroadleafForest,1,3500,1
46,EvergreenBroadleafForest,1,3500,1
47,OpenDeciduousBroadleafForest,1,3500,1
48,Watercourse,0,10,1
49,SparseShrubCover,1,1175,0.365
50,MineralExtraction,0,500,0.2
51,SparseVegetation,1,1175,0.365
52,Estuary,0,10,1
53,Estuary,0,10,1
54,GlacierAndPerpetualSnow,0,0,0.4
55,InlandMarsh,0,2000,0.5
56,MaritimeWetland,0,3500,1
57,ArtificialSurface,0,0,0.29
58,MoorAndHeathland,1,2000,0.5
59,StillWaterBody,0,10,1
60,Shrubland,1,2000,0.5
61,Mangrove,0,3500,1
62,Shrubland,1,2000,0.5
63,Shrubland,1,2000,0.5
64,SclerophyllousVegetation,1,2000,0.5
65,BambooForest,1,3500,1
66,Grassland,1,2000,0.65
67,ForestPlantation,1,3500,1
68,MoorAndHeathland,1,2000,0.5
69,ArtificialSurface,0,0,0.29
70,Watercourse,0,10,1
71,Grassland,1,2000,0.65
72,OpenSavanna,1,2750,0.75
73,SparseShrubCover,1,1175,0.365
74,InlandWetland,0,3500,1
75,SclerophyllousVegetation,1,2000,0.5
